Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,46.0,1.0,46.0,46.0,0.0,54.01800000999996,54.01800000999996,0.0,0.0,,,,,,,,,,,,,,,,16.30726069755179,18.0435909002359,53.32118720511776,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,68.0,2.0,22.0,68.0,0.0,34.00400000999999,34.00400000999999,0.0,2.213413715362549,,,,,,,,,,,,,,,,13.838699243457262,11.368462978978895,33.73328190855249,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,107.0,3.0,39.0,107.0,0.0,70.00300001000001,70.00300001000001,0.0,5.442178964614868,,,,,,,,,,,,,,,,31.947335498106987,21.684428386135203,68.82587980537923,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,127.0,4.0,20.0,127.0,0.0,30.004000010000006,30.004000010000006,0.0,7.434422492980957,,,,,,,,,,,,,,,,11.94765272459996,10.135712630732485,29.794841797305313,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,144.0,5.0,17.0,144.0,0.0,20.006000010000008,20.006000010000008,0.0,9.204731941223145,,,,,,,,,,,,,,,,6.455949781756237,6.954636270522443,19.916165028738888,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,159.0,6.0,15.0,159.0,0.0,20.004000010000006,20.004000010000006,0.0,10.949011087417603,,,,,,,,,,,,,,,,7.314691350556093,6.965542513888283,19.914193833575236,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,178.0,7.0,19.0,178.0,0.0,24.006000010000008,24.006000010000008,0.0,12.830224752426147,,,,,,,,,,,,,,,,8.185355145705929,8.294627283879917,23.87435261484644,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,194.0,8.0,16.0,194.0,0.0,20.005000010000007,20.005000010000007,0.0,14.757183313369751,,,,,,,,,,,,,,,,6.8584541076144045,6.972961854354422,19.915179924202377,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,217.0,9.0,23.0,217.0,0.0,38.003000009999994,38.003000009999994,0.0,16.901150465011597,,,,,,,,,,,,,,,,16.42574053429434,12.411950442734883,37.66287084855979,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,232.0,10.0,15.0,232.0,0.0,20.004000010000006,20.004000010000006,0.0,18.504424571990967,,,,,,,,,,,,,,,,7.314691350556093,6.965542513888283,19.914193833575236,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
