Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,81.0,1.0,81.0,81.0,0.0,80.80200000999999,80.80200000999999,0.0,0.0,,,,,,,,,,,,,,,,33.50780077713476,22.15547652365569,78.1660341812333,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,121.0,2.0,40.0,121.0,0.0,37.90200001000001,37.90200001000001,0.0,3.401228189468384,,,,,,,,,,,,,,,,13.823605733814176,11.509330942262105,37.38644222287029,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,176.0,3.0,55.0,176.0,0.0,49.40200001000005,49.40200001000005,0.0,7.73738694190979,,,,,,,,,,,,,,,,17.488113700502375,14.526655791210162,48.48864239887125,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,205.0,4.0,29.0,205.0,0.0,33.30200001000001,33.30200001000001,0.0,10.33400845527649,,,,,,,,,,,,,,,,13.303033264850113,10.98435068206042,32.94916120652587,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,223.0,5.0,18.0,223.0,0.0,10.903000009999994,10.903000009999994,0.0,12.149487733840942,,,,,,,,,,,,,,,,2.9106117034561794,3.407409402827855,10.861470469807596,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,240.0,6.0,17.0,240.0,0.0,12.102000009999996,12.102000009999996,0.0,13.978408336639404,,,,,,,,,,,,,,,,3.8534086800797325,3.8020383309175947,12.048540603041687,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,260.0,7.0,20.0,260.0,0.0,15.402000009999995,15.402000009999995,0.0,16.218826055526733,,,,,,,,,,,,,,,,4.694224351943161,4.997253173084885,15.323438961923056,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,355.0,8.0,95.0,355.0,0.0,64.40200001000011,64.40200001000011,0.0,23.239261150360107,,,,,,,,,,,,,,,,25.59882922469265,15.937418807672021,62.032143377031225,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,409.0,9.0,54.0,409.0,0.0,30.901000010000008,30.901000010000008,0.0,27.48684859275818,,,,,,,,,,,,,,,,10.714119135491236,7.76617967405853,30.352790367050517,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,478.0,10.0,69.0,478.0,0.0,72.20200001000002,72.20200001000002,0.0,32.83377981185913,,,,,,,,,,,,,,,,31.679468528560708,21.606600230718016,70.08620288441371,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,512.0,11.0,34.0,512.0,0.0,29.403000010000014,29.403000010000014,0.0,35.70964479446411,,,,,,,,,,,,,,,,11.319316255406996,8.850903079964061,29.047190447763928,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
